"","boot","cols","Accuracy","acc_teste","mean_acc_test"
"257",65,1,1,0.56,0.545
"258",65,2,1,0.53,0.545
"259",65,3,1,0.605,0.545
"260",65,4,1,0.475,0.545
"261",66,1,1,0.515,0.495
"262",66,2,1,0.475,0.495
"263",66,3,1,0.575,0.495
"264",66,4,1,0.46,0.495
"265",67,1,1,0.51,0.5
"266",67,2,1,0.51,0.5
"267",67,3,1,0.49,0.5
"268",67,4,1,0.46,0.5
"269",68,1,1,0.49,0.4925
"270",68,2,1,0.495,0.4925
"271",68,3,1,0.515,0.4925
"272",68,4,1,0.485,0.4925
"273",69,1,1,0.47,0.475
"274",69,2,1,0.56,0.475
"275",69,3,1,0.48,0.475
"276",69,4,1,0.435,0.475
"277",70,1,1,0.545,0.45
"278",70,2,1,0.44,0.45
"279",70,3,1,0.46,0.45
"280",70,4,1,0.415,0.45
"281",71,1,1,0.495,0.4875
"282",71,2,1,0.48,0.4875
"283",71,3,1,0.5,0.4875
"284",71,4,1,0.46,0.4875
"285",72,1,1,0.52,0.5175
"286",72,2,1,0.48,0.5175
"287",72,3,1,0.54,0.5175
"288",72,4,1,0.515,0.5175
"289",73,1,1,0.54,0.4675
"290",73,2,1,0.43,0.4675
"291",73,3,1,0.48,0.4675
"292",73,4,1,0.455,0.4675
"293",74,1,1,0.475,0.4675
"294",74,2,1,0.46,0.4675
"295",74,3,1,0.46,0.4675
"296",74,4,1,0.505,0.4675
"297",75,1,1,0.525,0.52
"298",75,2,1,0.49,0.52
"299",75,3,1,0.515,0.52
"300",75,4,1,0.525,0.52
"301",76,1,1,0.55,0.5275
"302",76,2,1,0.415,0.5275
"303",76,3,1,0.56,0.5275
"304",76,4,1,0.505,0.5275
"305",77,1,1,0.575,0.515
"306",77,2,1,0.505,0.515
"307",77,3,1,0.52,0.515
"308",77,4,1,0.51,0.515
"309",78,1,1,0.485,0.4875
"310",78,2,1,0.505,0.4875
"311",78,3,1,0.485,0.4875
"312",78,4,1,0.49,0.4875
"313",79,1,1,0.57,0.535
"314",79,2,1,0.5,0.535
"315",79,3,1,0.595,0.535
"316",79,4,1,0.485,0.535
"317",80,1,1,0.49,0.485
"318",80,2,1,0.5,0.485
"319",80,3,1,0.445,0.485
"320",80,4,1,0.48,0.485
"321",81,1,1,0.515,0.4925
"322",81,2,1,0.47,0.4925
"323",81,3,1,0.565,0.4925
"324",81,4,1,0.45,0.4925
"325",82,1,1,0.55,0.4875
"326",82,2,1,0.375,0.4875
"327",82,3,1,0.51,0.4875
"328",82,4,1,0.465,0.4875
"329",83,1,1,0.505,0.4975
"330",83,2,1,0.465,0.4975
"331",83,3,1,0.545,0.4975
"332",83,4,1,0.49,0.4975
"333",84,1,1,0.52,0.5125
"334",84,2,1,0.525,0.5125
"335",84,3,1,0.505,0.5125
"336",84,4,1,0.465,0.5125
"337",85,1,1,0.515,0.4975
"338",85,2,1,0.49,0.4975
"339",85,3,1,0.495,0.4975
"340",85,4,1,0.5,0.4975
"341",86,1,1,0.545,0.5
"342",86,2,1,0.445,0.5
"343",86,3,1,0.53,0.5
"344",86,4,1,0.47,0.5
"345",87,1,1,0.575,0.5425
"346",87,2,1,0.535,0.5425
"347",87,3,1,0.55,0.5425
"348",87,4,1,0.5,0.5425
"349",88,1,1,0.515,0.4975
"350",88,2,1,0.46,0.4975
"351",88,3,1,0.495,0.4975
"352",88,4,1,0.5,0.4975
"353",89,1,1,0.48,0.4825
"354",89,2,1,0.45,0.4825
"355",89,3,1,0.53,0.4825
"356",89,4,1,0.485,0.4825
"357",90,1,1,0.535,0.51
"358",90,2,1,0.485,0.51
"359",90,3,1,0.59,0.51
"360",90,4,1,0.47,0.51
"361",91,1,1,0.54,0.495
"362",91,2,1,0.505,0.495
"363",91,3,1,0.485,0.495
"364",91,4,1,0.425,0.495
"365",92,1,1,0.525,0.49
"366",92,2,1,0.445,0.49
"367",92,3,1,0.58,0.49
"368",92,4,1,0.455,0.49
"369",93,1,1,0.515,0.49
"370",93,2,1,0.495,0.49
"371",93,3,1,0.455,0.49
"372",93,4,1,0.485,0.49
"373",94,1,1,0.51,0.525
"374",94,2,1,0.54,0.525
"375",94,3,1,0.6,0.525
"376",94,4,1,0.49,0.525
"377",95,1,1,0.47,0.4875
"378",95,2,1,0.485,0.4875
"379",95,3,1,0.525,0.4875
"380",95,4,1,0.49,0.4875
"381",96,1,1,0.525,0.5225
"382",96,2,1,0.52,0.5225
"383",96,3,1,0.475,0.5225
"384",96,4,1,0.525,0.5225
"385",97,1,1,0.54,0.5025
"386",97,2,1,0.49,0.5025
"387",97,3,1,0.515,0.5025
"388",97,4,1,0.465,0.5025
"389",98,1,1,0.485,0.4825
"390",98,2,1,0.47,0.4825
"391",98,3,1,0.48,0.4825
"392",98,4,1,0.51,0.4825
"393",99,1,1,0.53,0.525
"394",99,2,1,0.455,0.525
"395",99,3,1,0.545,0.525
"396",99,4,1,0.52,0.525
"397",100,1,1,0.455,0.47
"398",100,2,1,0.515,0.47
"399",100,3,1,0.485,0.47
"400",100,4,1,0.445,0.47
"401",101,1,1,0.49,0.5
"402",101,2,1,0.51,0.5
"403",101,3,1,0.5,0.5
"404",101,4,1,0.5,0.5
"405",102,1,1,0.545,0.5125
"406",102,2,1,0.465,0.5125
"407",102,3,1,0.51,0.5125
"408",102,4,1,0.515,0.5125
"409",103,1,1,0.55,0.5225
"410",103,2,1,0.5,0.5225
"411",103,3,1,0.545,0.5225
"412",103,4,1,0.49,0.5225
"413",104,1,1,0.53,0.4775
"414",104,2,1,0.455,0.4775
"415",104,3,1,0.475,0.4775
"416",104,4,1,0.48,0.4775
"417",105,1,1,0.515,0.4875
"418",105,2,1,0.48,0.4875
"419",105,3,1,0.495,0.4875
"420",105,4,1,0.45,0.4875
"421",106,1,1,0.5,0.475
"422",106,2,1,0.45,0.475
"423",106,3,1,0.575,0.475
"424",106,4,1,0.4,0.475
"425",107,1,1,0.515,0.4925
"426",107,2,1,0.47,0.4925
"427",107,3,1,0.535,0.4925
"428",107,4,1,0.455,0.4925
"429",108,1,1,0.485,0.49
"430",108,2,1,0.48,0.49
"431",108,3,1,0.52,0.49
"432",108,4,1,0.495,0.49
"433",109,1,1,0.485,0.4875
"434",109,2,1,0.49,0.4875
"435",109,3,1,0.525,0.4875
"436",109,4,1,0.465,0.4875
"437",110,1,1,0.53,0.4925
"438",110,2,1,0.465,0.4925
"439",110,3,1,0.465,0.4925
"440",110,4,1,0.52,0.4925
"441",111,1,1,0.51,0.4925
"442",111,2,1,0.5,0.4925
"443",111,3,1,0.485,0.4925
"444",111,4,1,0.48,0.4925
"445",112,1,1,0.49,0.4825
"446",112,2,1,0.475,0.4825
"447",112,3,1,0.495,0.4825
"448",112,4,1,0.445,0.4825
"449",113,1,1,0.475,0.485
"450",113,2,1,0.44,0.485
"451",113,3,1,0.505,0.485
"452",113,4,1,0.495,0.485
"453",114,1,1,0.52,0.505
"454",114,2,1,0.455,0.505
"455",114,3,1,0.495,0.505
"456",114,4,1,0.515,0.505
"457",115,1,1,0.505,0.5075
"458",115,2,1,0.51,0.5075
"459",115,3,1,0.52,0.5075
"460",115,4,1,0.465,0.5075
"461",116,1,1,0.56,0.535
"462",116,2,1,0.47,0.535
"463",116,3,1,0.515,0.535
"464",116,4,1,0.555,0.535
"465",117,1,1,0.54,0.5
"466",117,2,1,0.51,0.5
"467",117,3,1,0.45,0.5
"468",117,4,1,0.49,0.5
"469",118,1,1,0.58,0.5625
"470",118,2,1,0.555,0.5625
"471",118,3,1,0.57,0.5625
"472",118,4,1,0.54,0.5625
"473",119,1,1,0.53,0.485
"474",119,2,1,0.495,0.485
"475",119,3,1,0.475,0.485
"476",119,4,1,0.465,0.485
"477",120,1,1,0.575,0.51
"478",120,2,1,0.495,0.51
"479",120,3,1,0.525,0.51
"480",120,4,1,0.44,0.51
"481",121,1,1,0.51,0.4975
"482",121,2,1,0.465,0.4975
"483",121,3,1,0.535,0.4975
"484",121,4,1,0.485,0.4975
"485",122,1,1,0.545,0.5225
"486",122,2,1,0.5,0.5225
"487",122,3,1,0.56,0.5225
"488",122,4,1,0.47,0.5225
"489",123,1,1,0.52,0.4925
"490",123,2,1,0.545,0.4925
"491",123,3,1,0.42,0.4925
"492",123,4,1,0.465,0.4925
"493",124,1,1,0.49,0.47
"494",124,2,1,0.43,0.47
"495",124,3,1,0.545,0.47
"496",124,4,1,0.45,0.47
"497",125,1,1,0.53,0.4425
"498",125,2,1,0.405,0.4425
"499",125,3,1,0.48,0.4425
"500",125,4,1,0.385,0.4425
"501",126,1,1,0.55,0.5325
"502",126,2,1,0.515,0.5325
"503",126,3,1,0.56,0.5325
"504",126,4,1,0.51,0.5325
"505",127,1,1,0.55,0.5125
"506",127,2,1,0.415,0.5125
"507",127,3,1,0.575,0.5125
"508",127,4,1,0.475,0.5125
"509",128,1,1,0.535,0.535
"510",128,2,1,0.535,0.535
"511",128,3,1,0.565,0.535
"512",128,4,1,0.525,0.535
"513",129,1,1,0.495,0.51
"514",129,2,1,0.555,0.51
"515",129,3,1,0.525,0.51
"516",129,4,1,0.46,0.51
"517",130,1,1,0.5,0.48
"518",130,2,1,0.475,0.48
"519",130,3,1,0.485,0.48
"520",130,4,1,0.455,0.48
"521",131,1,1,0.53,0.4675
"522",131,2,1,0.405,0.4675
"523",131,3,1,0.47,0.4675
"524",131,4,1,0.465,0.4675
"525",132,1,1,0.56,0.48
"526",132,2,1,0.415,0.48
"527",132,3,1,0.505,0.48
"528",132,4,1,0.455,0.48
"529",133,1,1,0.52,0.52
"530",133,2,1,0.52,0.52
"531",133,3,1,0.545,0.52
"532",133,4,1,0.44,0.52
"533",134,1,1,0.475,0.495
"534",134,2,1,0.535,0.495
"535",134,3,1,0.515,0.495
"536",134,4,1,0.465,0.495
"537",135,1,1,0.505,0.4725
"538",135,2,1,0.44,0.4725
"539",135,3,1,0.51,0.4725
"540",135,4,1,0.44,0.4725
"541",136,1,1,0.51,0.4975
"542",136,2,1,0.475,0.4975
"543",136,3,1,0.515,0.4975
"544",136,4,1,0.485,0.4975
"545",137,1,1,0.51,0.485
"546",137,2,1,0.455,0.485
"547",137,3,1,0.575,0.485
"548",137,4,1,0.46,0.485
"549",138,1,1,0.52,0.535
"550",138,2,1,0.565,0.535
"551",138,3,1,0.55,0.535
"552",138,4,1,0.51,0.535
"553",139,1,1,0.55,0.485
"554",139,2,1,0.45,0.485
"555",139,3,1,0.52,0.485
"556",139,4,1,0.41,0.485
"557",140,1,1,0.535,0.53
"558",140,2,1,0.535,0.53
"559",140,3,1,0.525,0.53
"560",140,4,1,0.5,0.53
"561",141,1,1,0.5,0.4975
"562",141,2,1,0.49,0.4975
"563",141,3,1,0.505,0.4975
"564",141,4,1,0.495,0.4975
"565",142,1,1,0.51,0.4975
"566",142,2,1,0.485,0.4975
"567",142,3,1,0.55,0.4975
"568",142,4,1,0.41,0.4975
"569",143,1,1,0.575,0.535
"570",143,2,1,0.51,0.535
"571",143,3,1,0.56,0.535
"572",143,4,1,0.475,0.535
"573",144,1,1,0.535,0.505
"574",144,2,1,0.51,0.505
"575",144,3,1,0.5,0.505
"576",144,4,1,0.46,0.505
"577",145,1,1,0.51,0.4975
"578",145,2,1,0.485,0.4975
"579",145,3,1,0.525,0.4975
"580",145,4,1,0.42,0.4975
"581",146,1,1,0.51,0.505
"582",146,2,1,0.515,0.505
"583",146,3,1,0.5,0.505
"584",146,4,1,0.48,0.505
"585",147,1,1,0.525,0.48
"586",147,2,1,0.47,0.48
"587",147,3,1,0.485,0.48
"588",147,4,1,0.475,0.48
"589",148,1,1,0.5,0.52
"590",148,2,1,0.54,0.52
"591",148,3,1,0.585,0.52
"592",148,4,1,0.435,0.52
"593",149,1,1,0.53,0.4875
"594",149,2,1,0.415,0.4875
"595",149,3,1,0.54,0.4875
"596",149,4,1,0.445,0.4875
"597",150,1,1,0.515,0.4825
"598",150,2,1,0.465,0.4825
"599",150,3,1,0.5,0.4825
"600",150,4,1,0.41,0.4825
"601",151,1,1,0.5,0.51
"602",151,2,1,0.515,0.51
"603",151,3,1,0.51,0.51
"604",151,4,1,0.51,0.51
"605",152,1,1,0.58,0.54
"606",152,2,1,0.465,0.54
"607",152,3,1,0.585,0.54
"608",152,4,1,0.5,0.54
"609",153,1,1,0.535,0.5225
"610",153,2,1,0.51,0.5225
"611",153,3,1,0.545,0.5225
"612",153,4,1,0.47,0.5225
"613",154,1,1,0.555,0.4875
"614",154,2,1,0.475,0.4875
"615",154,3,1,0.475,0.4875
"616",154,4,1,0.5,0.4875
"617",155,1,1,0.53,0.5125
"618",155,2,1,0.43,0.5125
"619",155,3,1,0.52,0.5125
"620",155,4,1,0.505,0.5125
"621",156,1,1,0.515,0.485
"622",156,2,1,0.495,0.485
"623",156,3,1,0.475,0.485
"624",156,4,1,0.475,0.485
"625",157,1,1,0.495,0.5075
"626",157,2,1,0.54,0.5075
"627",157,3,1,0.52,0.5075
"628",157,4,1,0.49,0.5075
"629",158,1,1,0.525,0.515
"630",158,2,1,0.47,0.515
"631",158,3,1,0.525,0.515
"632",158,4,1,0.505,0.515
"633",159,1,1,0.555,0.5125
"634",159,2,1,0.465,0.5125
"635",159,3,1,0.505,0.5125
"636",159,4,1,0.52,0.5125
"637",160,1,1,0.53,0.5075
"638",160,2,1,0.485,0.5075
"639",160,3,1,0.545,0.5075
"640",160,4,1,0.44,0.5075
"641",161,1,1,0.595,0.525
"642",161,2,1,0.5,0.525
"643",161,3,1,0.55,0.525
"644",161,4,1,0.475,0.525
"645",162,1,1,0.44,0.5175
"646",162,2,1,0.535,0.5175
"647",162,3,1,0.535,0.5175
"648",162,4,1,0.5,0.5175
"649",163,1,1,0.53,0.52
"650",163,2,1,0.5,0.52
"651",163,3,1,0.525,0.52
"652",163,4,1,0.515,0.52
"653",164,1,1,0.555,0.5075
"654",164,2,1,0.5,0.5075
"655",164,3,1,0.515,0.5075
"656",164,4,1,0.49,0.5075
"657",165,1,1,0.52,0.5075
"658",165,2,1,0.465,0.5075
"659",165,3,1,0.495,0.5075
"660",165,4,1,0.52,0.5075
"661",166,1,1,0.54,0.4975
"662",166,2,1,0.46,0.4975
"663",166,3,1,0.535,0.4975
"664",166,4,1,0.415,0.4975
"665",167,1,1,0.54,0.5025
"666",167,2,1,0.465,0.5025
"667",167,3,1,0.55,0.5025
"668",167,4,1,0.435,0.5025
"669",168,1,1,0.515,0.49
"670",168,2,1,0.45,0.49
"671",168,3,1,0.525,0.49
"672",168,4,1,0.465,0.49
"673",169,1,1,0.545,0.535
"674",169,2,1,0.535,0.535
"675",169,3,1,0.535,0.535
"676",169,4,1,0.48,0.535
"677",170,1,1,0.54,0.5175
"678",170,2,1,0.495,0.5175
"679",170,3,1,0.545,0.5175
"680",170,4,1,0.465,0.5175
"681",171,1,1,0.53,0.5325
"682",171,2,1,0.475,0.5325
"683",171,3,1,0.61,0.5325
"684",171,4,1,0.535,0.5325
"685",172,1,1,0.515,0.4825
"686",172,2,1,0.45,0.4825
"687",172,3,1,0.52,0.4825
"688",172,4,1,0.435,0.4825
"689",173,1,1,0.545,0.495
"690",173,2,1,0.48,0.495
"691",173,3,1,0.505,0.495
"692",173,4,1,0.485,0.495
"693",174,1,1,0.49,0.4675
"694",174,2,1,0.445,0.4675
"695",174,3,1,0.5,0.4675
"696",174,4,1,0.385,0.4675
"697",175,1,1,0.5,0.4875
"698",175,2,1,0.49,0.4875
"699",175,3,1,0.485,0.4875
"700",175,4,1,0.46,0.4875
"701",176,1,1,0.51,0.4875
"702",176,2,1,0.505,0.4875
"703",176,3,1,0.47,0.4875
"704",176,4,1,0.465,0.4875
"705",177,1,1,0.515,0.5175
"706",177,2,1,0.52,0.5175
"707",177,3,1,0.54,0.5175
"708",177,4,1,0.49,0.5175
"709",178,1,1,0.555,0.5
"710",178,2,1,0.475,0.5
"711",178,3,1,0.51,0.5
"712",178,4,1,0.49,0.5
"713",179,1,1,0.61,0.52
"714",179,2,1,0.455,0.52
"715",179,3,1,0.57,0.52
"716",179,4,1,0.47,0.52
"717",180,1,1,0.53,0.52
"718",180,2,1,0.51,0.52
"719",180,3,1,0.555,0.52
"720",180,4,1,0.465,0.52
"721",181,1,1,0.52,0.49
"722",181,2,1,0.425,0.49
"723",181,3,1,0.55,0.49
"724",181,4,1,0.46,0.49
"725",182,1,1,0.505,0.49
"726",182,2,1,0.475,0.49
"727",182,3,1,0.51,0.49
"728",182,4,1,0.47,0.49
"729",183,1,1,0.57,0.505
"730",183,2,1,0.47,0.505
"731",183,3,1,0.54,0.505
"732",183,4,1,0.395,0.505
"733",184,1,1,0.495,0.445
"734",184,2,1,0.435,0.445
"735",184,3,1,0.455,0.445
"736",184,4,1,0.4,0.445
"737",185,1,1,0.46,0.455
"738",185,2,1,0.45,0.455
"739",185,3,1,0.5,0.455
"740",185,4,1,0.425,0.455
"741",186,1,1,0.485,0.5125
"742",186,2,1,0.5,0.5125
"743",186,3,1,0.535,0.5125
"744",186,4,1,0.525,0.5125
